1845 520 30.21 540 10.41 1643 508 23.53 563 48.76
1921 524 30.37 537 8.10+ 1636 506 25.30 559 48.80
2378 520 33.08 539 11.08 1701 507 23.71 562 50.77
2193 523 31.62 539 11.29 1646 507 24.25 564 48.79
2329 522 34.53 538 11.44 2079 510 30.70 562 49.60
1854 520 28.20 538 7.89+ 1658 517 22.43 562 48.09
1991 524 31.18 542 10.48 1720 512 19.22 561 49.77
1961 525 26.37 542 9.73+ 1605 511 20.03 559 48.44
2111 525 30.77 544 9.50+ 1664 505 19.36 570 48.67
2318 528 34.69 543 11.37 1671 512 22.41 564 50.03
2283 521 33.86 538 10.12 1658 510 23.24 566 50.37
2360 521 34.40 542 10.18 1708 511 22.60 562 49.89
1967 524 29.50 542 9.21+ 1945 517 32.50 566 48.96
2183 528 29.57 545 9.59+ 1827 514 25.86 564 50.33
1786 504 28.67 517 6.76+ 1794 492 23.21 543 48.90
1941 500 28.90 517 7.99+ 1751 490 20.26 542 44.84
1882 509 28.23 517 8.29+ 1930 494 27.17 536 47.23
2141 504 30.40 514 9.25+ 1934 491 32.15 536 46.63
2233 510 31.84 517 11.14 1709 495 25.48 534 48.44
1984 469 26.40 461 9.06+ 1766 454 16.92 475 49.13
2196 462 24.38 457 10.43 2037 453 22.14 476 47.98
2122 452 22.71 444 7.87+ 1995 453 22.27 474 48.52
1903 510 27.39 521 7.74+ 1748 500 21.63 550 49.41
1827 517 28.66 529 8.98+ 1741 503 22.28 550 46.38
1945 519 30.78 532 8.42+ 1991 505 27.83 555 46.66
2411 514 32.43 535 10.74 1722 501 24.20 558 51.13
1981 520 28.51 535 9.39+ 1755 507 28.26 555 49.67
1899 467 22.92 444 6.23+ 2070 457 19.23 476 50.23
2007 470 24.55 464 11.50 1664 456 15.78 481 47.82
1831 464 21.66 448 7.87+ 1768 455 16.60 478 47.06
1868 468 22.94 454 8.39+ 1856 455 18.92 482 49.86
2195 467 24.48 460 11.83 1873 459 17.27 479 51.04
2298 473 26.30 460 11.66 1616 458 13.91 480 48.54
2301 477 25.63 460 13.84 1846 458 16.08 479 45.94
1817 473 21.56 458 8.46+ 2080 459 21.59 481 49.86
2111 470 22.60 459 11.20 1879 460 18.33 486 46.47
2031 475 21.78 466 12.89 1605 459 14.05 477 44.50
1753 471 24.63 467 12.10 1715 460 18.45 480 47.63
1972 515 33.38 537 10.62 1685 504 22.65 553 49.95
2177 515 29.58 536 10.59 1674 505 20.93 554 51.01
1926 474 22.57 462 9.57+ 1544 460 13.82 479 49.85
2177 470 21.70 468 11.83 1785 460 15.96 481 49.65
2085 471 24.32 466 11.29 1759 462 16.63 484 45.08
2100 470 22.76 466 8.88+ 2049 462 20.91 481 48.65
2166 472 26.12 468 11.75 1992 463 17.82 484 44.26
2089 477 22.22 467 9.64+ 2104 463 21.15 490 49.18
2438 465 26.92 459 9.69+ 1968 464 17.85 485 45.40
2569 479 26.15 474 11.50 1962 465 16.72 485 50.23
1932 465 19.59 458 7.51+ 1978 464 19.33 485 49.52
1916 484 23.65 481 8.43+ 2040 466 19.55 491 49.84
2010 469 23.85 462 8.53+ 1640 463 13.87 487 45.70
1883 465 20.92 461 8.30+ 1868 464 15.86 487 47.89
2054 484 23.55 472 12.07 1941 466 17.59 491 49.94
2063 472 20.03 470 10.64 1737 465 14.88 484 43.41
2252 518 31.95 534 10.74 1674 504 22.12 559 48.02
1978 522 31.91 535 12.32 1971 504 29.64 561 48.01
2043 525 32.01 537 10.03 1956 505 32.40 562 47.87
2050 471 21.01 464 10.28 1652 467 18.83 501 47.21
2080 483 25.48 473 11.22 2034 474 21.42 488 47.64
1773 479 24.15 475 9.66+ 1811 469 17.81 502 49.43
1991 488 24.88 476 10.59 1744 468 18.11 491 48.88
2473 482 24.15 475 10.98 1703 473 15.98 494 44.21
2093 487 24.51 476 8.91+ 1803 470 21.80 494 49.11
2177 520 26.85 534 11.83 2116 504 29.03 563 47.29
1978 526 28.73 537 10.91 1580 512 24.11 557 49.86
2139 475 25.12 473 9.12+ 1951 470 20.42 491 48.52
2342 482 25.17 475 10.59 1764 478 17.62 497 44.66
2180 486 22.45 480 9.74+ 2072 479 28.82 495 49.67
2156 486 23.18 476 9.49+ 1779 477 18.38 501 47.95
2194 483 24.18 479 9.12+ 1751 474 19.68 497 49.04
1924 489 23.32 480 7.78+ 1813 476 19.28 498 49.21
1828 483 20.77 478 8.30+ 1880 476 19.64 506 49.12
2223 487 26.59 479 10.36 1905 471 17.34 501 49.46
2358 481 26.28 484 10.73 1855 472 18.04 517 46.24
1873 493 21.54 495 9.71+ 1642 474 15.22 517 48.81
1796 488 21.76 492 7.92+ 1801 476 19.94 513 50.57
1964 490 24.27 494 7.21+ 1909 474 15.01 525 47.85
1959 486 23.92 497 10.23 1993 474 20.96 514 49.27
2203 484 24.52 494 11.17 1835 474 19.09 510 50.14
1886 490 22.43 497 9.87+ 1606 474 19.73 515 50.64
1738 487 25.30 501 10.79 1657 477 16.36 516 46.36
1866 490 22.79 501 8.86+ 1602 477 14.25 516 43.52
