1679	254	2.32	263	4.42	1643	253	1.84	283	3.85	
1613	255	6.93	268	5.48	1521	259	0.00	301	3.46	
1416	252	1.90	272	8.55	1657	259	14.41	275	1.31	
1705	257	0.19	267	5.84	1526	260	4.70	290	2.13	
1844	260	0.57	269	5.46	1500	262	0.23	288	6.41	
1634	259	4.36	270	1.51	1519	262	0.12	281	5.41	
1753	264	4.29	270	4.02	1616	265	2.07	298	1.45	
2018	257	0.00	268	0.90	1850	260	0.05	289	6.50	
1822	259	1.64	272	6.86	1612	258	0.36	278	0.00	
1924	259	0.82	269	0.50	1678	258	4.34	300	7.31	
1755	266	1.14	269	2.18	1782	268	0.26	277	2.98	
1863	260	0.15	268	5.80	1771	266	0.00	276	6.42	
1898	264	1.33	268	5.50	1620	265	5.67	286	6.60	
2173	264	3.19	270	7.86	1824	263	1.32	291	0.78	
1791	271	3.97	271	6.76	1502	262	0.00	290	8.71	
1678	271	5.93	270	1.72	1626	273	0.22	278	1.12	
1745	269	0.06	269	1.47	1665	274	4.85	281	0.91	
1887	262	0.00	271	1.79	1570	267	0.11	288	9.58	
1889	264	1.66	271	0.51	1731	263	0.27	294	2.72	
1832	258	4.92	270	2.57	1763	260	0.00	299	7.05	
1868	262	6.57	271	4.46	1719	266	2.04	286	1.88	
1816	263	0.47	272	1.59	1550	262	2.01	288	3.95	
1761	271	1.17	270	3.51	1506	276	4.21	298	8.30	
1801	274	0.61	271	4.12	1624	269	18.36	285	18.74	
2000	268	6.02	273	4.66	1368	269	0.00	295	3.95	
1727	275	3.81	271	5.56	1668	277	0.11	288	2.80	
1581	272	4.88	270	10.35	1802	274	0.27	285	3.26	
2279	271	3.11	268	0.41	1587	273	2.54	303	2.51	
1720	273	0.55	270	2.07	1646	273	4.50	286	9.86	
1366	272	0.72	268	2.79	1548	280	4.32	292	5.59	
1876	266	1.88	267	1.15	1435	278	0.91	302	1.45	
1894	268	2.23	269	2.80	1423	272	0.11	287	1.02	
1682	274	0.75	269	4.54	1473	271	1.17	296	1.76	
1978	268	2.60	271	5.13	1578	269	0.00	298	1.40	
1960	268	0.35	272	4.08	1677	272	0.05	302	5.03	
1806	267	4.52	275	48.88	1644	274	0.62	298	42.40	
1632	276	0.18	272	0.25	1755	276	2.75	303	26.40	
1882	274	0.06	277	0.28	1508	271	7.06	307	39.80	
2094	268	2.02	274	0.57	1566	267	0.12	302	35.24	
1798	276	4.02	272	1.29	1618	274	0.11	277	27.80	
1686	272	4.06	275	2.33	1557	272	0.11	283	4.62	
1749	274	1.36	271	2.40	1503	276	1.44	293	15.93	
1705	275	0.45	271	3.16	1577	280	3.30	305	15.82	
1645	277	2.69	272	2.44	1574	281	0.06	304	6.02	
1606	280	0.45	273	2.10	1694	279	1.84	298	4.36	
1901	278	0.26	274	12.71	1559	278	5.94	303	2.40	
1636	273	0.99	276	5.58	1689	269	0.62	300	1.48	
1918	272	5.12	274	8.68	1637	279	1.59	298	2.77	
1816	272	6.00	273	3.60	1545	273	0.49	298	1.35	
1694	276	0.60	277	1.47	1540	274	3.77	300	10.48	
1495	282	0.25	274	1.78	1569	278	8.39	296	9.72	
1964	277	1.39	273	5.58	1515	265	1.93	295	4.80	
1884	267	4.44	276	8.44	1726	270	0.00	306	1.51	
1587	261	5.01	277	2.95	1711	268	0.17	299	6.35	
1978	263	3.19	275	4.03	1799	264	0.61	287	2.76	
2220	268	1.22	274	2.76	1774	271	0.12	295	2.95	
2308	262	2.46	273	11.97	1540	272	3.13	300	1.66	
1780	268	4.63	277	3.29	1286	271	0.55	299	0.96	
1944	274	3.06	275	1.11	1565	271	1.74	300	7.63	
1711	275	0.91	275	7.81	1629	282	3.81	296	2.57	
1904	283	1.03	272	0.89	1477	285	4.80	306	4.71	
1873	278	1.47	274	3.51	1615	275	0.16	302	5.66	
1747	279	1.37	275	5.22	1761	281	0.85	296	0.73	
1949	279	0.69	276	0.29	1682	275	0.16	297	0.90	
1642	277	5.68	276	0.44	1535	277	0.00	302	1.28	
1501	272	3.40	280	3.11	1648	269	5.39	303	0.50	
1857	270	0.05	276	2.74	1767	272	1.78	294	1.69	
2038	265	0.11	276	2.83	1554	265	0.94	304	1.77	
1828	268	1.52	278	2.34	1362	268	2.93	298	2.71	
1633	267	11.36	277	4.72	1551	265	0.49	305	1.68	
1705	263	2.44	275	3.55	1718	274	0.43	294	2.06	
2015	270	11.01	272	3.86	1672	277	0.65	289	1.18	
1992	275	2.56	275	2.15	1423	279	2.17	298	1.55	
1805	278	3.43	275	4.27	1751	280	2.56	290	0.21	
1708	278	11.73	274	5.26	1512	280	5.09	301	7.03	
1762	281	2.94	273	2.44	1594	281	5.13	303	3.12	
1982	281	0.17	276	2.43	1547	277	1.85	306	0.95	
2130	275	0.36	276	2.06	1675	280	12.90	296	0.10	
1870	280	1.02	279	3.38	1807	282	0.58	298	1.52	
1906	276	4.04	273	2.26	1755	276	0.05	279	3.16	
1988	279	8.69	274	1.47	1631	281	0.00	302	5.39	
1692	275	2.17	273	6.22	1548	276	0.00	307	0.51	
